EventNum,Event
0,Load
1,Store
2,Replacement
3,Own_GetS
4,Own_GetM
5,Own_PutM
6,Other_GetS
7,Other_GetM
8,Other_PutM
9,OwnData
10,Invalidation

ActionNum,Action
0,Stall
1,Hit
2,GetS
3,GetM
4,PutM
5,Data2Req
6,Data2Both
7,SaveReq
8,Fault

StateNum,State
0,I
1,IM_ad
2,IM_d
3,IM_a
4,IM_dI
5,M
6,MI_a
7,MII_a
8,II_a

State,stable,isDataValid,Load,Store,Replacement,Own_GetS,Own_GetM,Own_PutM,Other_GetS,Other_GetM,Other_PutM,OwnData,Invalidation
I,1,0,GetM/IM_ad,GetM/IM_ad,,Fault/,Fault/,Fault/,,,,Fault/,
IM_ad,0,1,Stall/,Stall/,Stall/,Fault/,IM_d,Fault/,,,,IM_a,
IM_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,SaveReq/IM_dI,,Hit/M,SaveReq/IM_dI
IM_a,0,1,Stall/,Stall/,Stall/,Fault/,Hit/M,Fault/,,,,Fault/,IM_ad
IM_dI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/Data2Req/I,
M,1,1,Hit/,Hit/,PutM/MI_a,Fault/,Fault/,Fault/,Fault/,Data2Req/I,,Fault/,Data2Req/I
MI_a,0,1,Hit/,Hit/,Stall/,Fault/,Fault/,Data2Req/I,Fault/,Data2Req/II_a,,Fault/,MII_a
MII_a,0,1,Hit/,Hit/,Stall/,Fault/,Fault/,Data2Req/I,,,,Fault/,
II_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,I,,,,Fault/,
