EventNum,Event,,,,,,,,,
0,GetS,,,,,,,,,
1,GetM,,,,,,,,,
2,Replacement,,,,,,,,,
3,PutM_fromOwner,,,,,,,,,
4,PutM_fromNonOwner,,,,,,,,,
5,Data_fromLowerInterface,,,,,,,,,
6,Data_fromUpperInterface,,,,,,,,,
7,Own_Invalidation,,,,,,,,,
,,,,,,,,,,
ActionNum,Action,,,,,,,,,
0,Stall,,,,,,,,,
1,GetData,,,,,,,,,
2,SendData,,,,,,,,,
3,SaveData,,,,,,,,,
4,SetOwner,,,,,,,,,
5,ClearOwner,,,,,,,,,
6,IssueInv,,,,,,,,,
7,WriteBack,,,,,,,,,
8,Fault,,,,,,,,,
9,SendExeclusiveData,,,,,,,,,
,,,,,,,,,,
StateNum,State,,,,,,,,,
0,N,,,,,,,,,
1,NE_d,,,,,,,,,
2,NM_d,,,,,,,,,
3,I,,,,,,,,,
4,S,,,,,,,,,
5,E,,,,,,,,,
6,I_a,,,,,,,,,
7,MN_d,,,,,,,,,
8,S_d,,,,,,,,,
9,I_d,,,,,,,,,
10,O,,,,,,,,,
11,S_a,,,,,,,,,
12,O_d,,,,,,,,,
13,M,,,,,,,,,
,,,,,,,,,,
State,stable,isDataValid,GetS,GetM,Replacement,PutM_fromOwner,PutM_fromNonOwner,Data_fromLowerInterface,Data_fromUpperInterface,Own_Invalidation
N,1,0,GetData/SetOwner/NE_d,GetData/SetOwner/NM_d,,Fault/,,Fault/,Fault/,SaveData/N
NE_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SendExeclusiveData/E,Fault/
NM_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SendData/M,Fault/
I,1,1,SendExeclusiveData/SetOwner/E,SendData/SetOwner/M,IssueInv/,Fault/,,Fault/,Fault/,WriteBack/N
S,1,1,SendData/,SendData/SetOwner/M,IssueInv/,Fault/,,Fault/,Fault/,WriteBack/N
E,1,1,ClearOwner/S,SetOwner/M,IssueInv/,ClearOwner/I,,Fault/,Fault/,ClearOwner/WriteBack/N
I_a,0,1,Stall/,Stall/,Stall/,ClearOwner/I,,Fault/,Fault/,Fault/
MN_d,0,1,Stall/,Stall/,Stall/,Fault/,,WriteBack/N,Fault/,SaveData/MN_d
S_d,0,1,Stall/,Stall/,Stall/,Fault/,,SaveData/S,Fault/,MN_d
I_d,0,1,Stall/,Stall/,Stall/,Fault/,,SaveData/I,Fault/,MN_d
O,1,1,,SetOwner/M,IssueInv/,S_d,,SaveData/S,Fault/,ClearOwner/MN_d
S_a,0,1,Stall/,Stall/,Stall/,ClearOwner/S,,Fault/,Fault/,Fault/
O_d,0,1,Stall/,Stall/,Stall/,Fault/,,SaveData/O,Fault/,MN_d
M,1,1,O,SetOwner/M,IssueInv/,ClearOwner/I_d,,SaveData/I_a,Fault/,ClearOwner/MN_d
