EventNum,Event,,,,,,,,,,,,,,,,,,,
0,GetS,,,,,,,,,,,,,,,,,,,
1,GetM,,,,,,,,,,,,,,,,,,,
2,Replacement,,,,,,,,,,,,,,,,,,,
3,PutS,,,,,,,,,,,,,,,,,,,
4,last_PutS,,,,,,,,,,,,,,,,,,,
5,InvAck,,,,,,,,,,,,,,,,,,,
6,last_InvAck,,,,,,,,,,,,,,,,,,,
7,PutM_Data_fromOwner,,,,,,,,,,,,,,,,,,,
8,PutM_Data_fromNonOwner,,,,,,,,,,,,,,,,,,,
9,Data_fromLowerInterface,,,,,,,,,,,,,,,,,,,
10,Data_fromUpperInterface,,,,,,,,,,,,,,,,,,,
11,PutE_fromOwner,,,,,,,,,,,,,,,,,,,
12,PutE_fromNonOwner,,,,,,,,,,,,,,,,,,,
13,GetM_fromOwner,,,,,,,,,,,,,,,,,,,
14,PutO_Data_fromOwner,,,,,,,,,,,,,,,,,,,
15,PutO_Data_fromNonOwner,,,,,,,,,,,,,,,,,,,
16,last_PutO_fromOwner,,,,,,,,,,,,,,,,,,,
17,Data_fromLowerInterface_lastAck,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ActionNum,Action,,,,,,,,,,,,,,,,,,,
0,Stall,,,,,,,,,,,,,,,,,,,
1,GetData,,,,,,,,,,,,,,,,,,,
2,SendData,,,,,,,,,,,,,,,,,,,
3,SaveData,,,,,,,,,,,,,,,,,,,
4,SetOwner,,,,,,,,,,,,,,,,,,,
5,ClearOwner,,,,,,,,,,,,,,,,,,,
6,SendInv,,,,,,,,,,,,,,,,,,,
7,WriteBack,,,,,,,,,,,,,,,,,,,
8,FwdGetS,,,,,,,,,,,,,,,,,,,
9,FwdGetM,,,,,,,,,,,,,,,,,,,
10,PutAck,,,,,,,,,,,,,,,,,,,
11,IncSharers,,,,,,,,,,,,,,,,,,,
12,DecSharers,,,,,,,,,,,,,,,,,,,
13,Fault,,,,,,,,,,,,,,,,,,,
14,SendEData,,,,,,,,,,,,,,,,,,,
15,sendAckC,,,,,,,,,,,,,,,,,,,
16,SendInvM,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
StateNum,State,,,,,,,,,,,,,,,,,,,
0,N,,,,,,,,,,,,,,,,,,,
1,NE_d,,,,,,,,,,,,,,,,,,,
2,NM_d,,,,,,,,,,,,,,,,,,,
3,I,,,,,,,,,,,,,,,,,,,
4,S,,,,,,,,,,,,,,,,,,,
5,E,,,,,,,,,,,,,,,,,,,
6,M,,,,,,,,,,,,,,,,,,,
7,O,,,,,,,,,,,,,,,,,,,
8,S_d,,,,,,,,,,,,,,,,,,,
9,N_ad,,,,,,,,,,,,,,,,,,,
10,N_d,,,,,,,,,,,,,,,,,,,
11,N_a,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,stable,isDataValid,GetS,GetM,Replacement,PutS,last_PutS,InvAck,last_InvAck,PutM_Data_fromOwner,PutM_Data_fromNonOwner,Data_fromLowerInterface,Data_fromUpperInterface,PutE_fromOwner,PutE_fromNonOwner,GetM_fromOwner,PutO_Data_fromOwner,PutO_Data_fromNonOwner,last_PutO_fromOwner,Data_fromLowerInterface_lastAck
N,1,0,SetOwner/GetData/NE_d,SetOwner/GetData/NM_d,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
NE_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,SendEData/E,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
