EventNum                                                                         , Event                  ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
0                                                                                , GetS                   ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
1                                                                                , GetM                   ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
2                                                                                , Replacement            ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
3                                                                                , PutM_fromOwner         ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
4                                                                                , PutM_fromNonOwner      ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
5                                                                                , OwnGetData             ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
6                                                                                , OwnPutData             ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
7                                                                                , Data_fromLowerInterface,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
8                                                                                , Data_fromUpperInterface,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
                                                                                 ,                        ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
ActionNum                                                                        , Action                 ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
0                                                                                , Stall                  ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
1                                                                                , GetData                ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
2                                                                                , SendData               ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
3                                                                                , WriteData              ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
4                                                                                , SetOwner               ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
5                                                                                , ClearOwner             ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
6                                                                                , IssueInv               ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
7                                                                                , PutData                ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
8                                                                                , WriteBack              ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , L1[3] a=6118 st=0->5  ev=1  (core3 Store 6118 → issues GetM)
L1[3] a=6118 st=5->6  ev=4  (Own_GetM → IM_d)
L1[3] a=6130 st=6->9  ev=6  (peer GetS → IM_dS)
L1[3] a=6128 st=9->11 ev=9  ← OwnData tagged 6128 satisfies it → S
[L1[3] Data2Both] to_req=3 ... a=6128     (the forwarded data that landed)
[LLC SendData]   to=3 st=3->4 cv=1 a=6118 ← LLC ALSO sends data for 6118
L1[3] a=6118 st=11->11 ev=9 → [L1snoop FAULT core3]   (S + OwnData)

What's actually happening. Core3 stores into 5 different words of one block (6128, 6138                   , 6130       , 6120             , 6118). The block ping-pongs so hard that a peer's GetM invalidates core3 after every word, so it re-issues a fresh GetM for the next word — 5 sequential GetMs (the FSM stall holds; never two at once — you were right). The tell is that every data response comes back tagged 6128 regardless of which word core3 actually asked for (L1[3] a=6138 st=5->6 requests 6138, but its response is L1[3] a=6128 st=8->0 ev=9). Responses are matched at block granularity, so any block-0x6100 data satisfies whatever GetM is outstanding.
9                                                                                , Fault                  ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
                                                                                 ,                        ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
StateNum                                                                         , State                  ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
0                                                                                , N                      ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
1                                                                                , NIorS_a                ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
2                                                                                , NM_a                   ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
3                                                                                , NIorS_d                ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
4                                                                                , NM_d                   ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
5                                                                                , IorS                   ,            ,                  ,                                                                                          ,                                                                                                                                                                                                                                                                                 ,                                                                                           ,                                                                 ,           ,            ,                        , 
