ReqID,Core,WCLatency,Arrival_Time,Finish_Time
2,1,94,3,97
3,2,208,3,211
4,3,323,3,326
15,1,456,97,553
16,2,456,211,667
17,3,456,326,782
18,1,342,553,895
19,2,342,667,1009
20,3,342,782,1124
21,1,342,895,1237
22,2,233,1009,1242
23,3,133,1124,1257
24,1,114,1237,1351
25,2,223,1242,1465
26,3,323,1257,1580
30,1,342,1351,1693
31,2,233,1465,1698
36,1,12,1693,1705
32,3,135,1580,1715
34,2,109,1698,1807
35,3,97,1715,1812
48,1,216,1705,1921
37,2,228,1807,2035
38,3,228,1812,2040
67,1,228,1921,2149
43,2,228,2035,2263
44,3,228,2040,2268
68,1,228,2149,2377
46,2,228,2263,2491
47,3,228,2268,2496
69,1,228,2377,2605
59,2,228,2491,2719
63,3,228,2496,2724
70,1,228,2605,2833
61,2,228,2719,2947
65,3,228,2724,2952
75,1,228,2833,3061
80,2,228,2947,3175
86,3,338,2952,3290
88,1,342,3061,3403
90,2,342,3175,3517
93,3,232,3290,3522
95,1,228,3403,3631
100,2,228,3517,3745
108,3,338,3522,3860
112,1,342,3631,3973
123,2,342,3745,4087
124,3,342,3860,4202
179,0,407,3907,4314
121,1,456,3973,4429
132,2,456,4087,4543
133,3,456,4202,4658
180,0,456,4314,4770
125,1,456,4429,4885
135,2,456,4543,4999
136,3,456,4658,5114
181,0,456,4770,5226
126,1,456,4885,5341
138,2,456,4999,5455
141,3,456,5114,5570
182,0,456,5226,5682
127,1,456,5341,5797
139,2,456,5455,5911
142,3,456,5570,6026
183,0,456,5682,6138
128,1,456,5797,6253
140,2,456,5911,6367
143,3,456,6026,6482
185,0,456,6138,6594
130,1,456,6253,6709
145,2,456,6367,6823
146,3,456,6482,6938
187,0,456,6594,7050
134,1,456,6709,7165
148,2,456,6823,7279
149,3,456,6938,7394
147,1,456,7165,7621
156,2,456,7279,7735
157,3,456,7394,7850
150,1,342,7621,7963
166,2,342,7735,8077
173,3,232,7850,8082
153,1,228,7963,8191
199,2,228,8077,8305
201,3,228,8082,8310
160,1,228,8191,8419
210,2,126,8305,8431
213,3,126,8310,8436
186,1,114,8419,8533
216,2,107,8431,8538
217,3,117,8436,8553
190,0,221,8425,8646
193,1,228,8533,8761
219,2,235,8538,8773
220,3,225,8553,8778
271,0,228,8646,8874
194,1,228,8761,8989
221,2,330,8773,9103
222,3,440,8778,9218
275,0,456,8874,9330
204,1,456,8989,9445
230,2,347,9103,9450
231,3,247,9218,9465
285,0,228,9330,9558
214,1,228,9445,9673
