arbiter,benchmark,status,avg,wcTotal,wcReqBus,wcRespBus,wcDRAM,finish
FCFSArbiter,cacheb01-trace,OK,11.70,871,16,387,267,1632099
FCFSArbiter,ttsprk01-trace,OK,9.37,822,16,420,267,2554374
FCFSArbiter,pntrch01-trace,OK,9.00,795,16,378,267,1358685
FCFSArbiter,basefp01-trace,OK,9.94,815,17,387,264,1126108
FCFSArbiter,aifirf01-trace,OK,9.18,800,13,377,264,1077076
FCFSArbiter,rspeed01-trace,OK,8.98,817,18,368,264,1803940
FCFSArbiter,iirflt01-trace,OK,9.74,829,16,384,264,1077734
FCFSArbiter,a2time01-trace,OK,9.14,750,15,378,264,1022382
FCFSArbiter,empty-trace,OK,8.17,828,17,367,270,708054
RRArbiter,cacheb01-trace,TIMEOUT,9.63,811,19,519,271,1525998
RRArbiter,ttsprk01-trace,OK,9.22,769,23,459,264,2551848
RRArbiter,pntrch01-trace,OK,9.12,891,18,380,264,1366301
RRArbiter,basefp01-trace,OK,10.08,950,21,401,264,1135574
RRArbiter,aifirf01-trace,OK,9.20,875,15,374,264,1077444
RRArbiter,rspeed01-trace,OK,9.23,907,18,376,264,1819140
RRArbiter,iirflt01-trace,OK,9.62,812,21,408,264,1071511
RRArbiter,a2time01-trace,OK,9.08,759,19,418,264,1021115
RRArbiter,empty-trace,OK,8.15,751,20,381,266,709944
TDMArbiter,cacheb01-trace,INCOMPLETE,
TDMArbiter,ttsprk01-trace,OK,11.60,1643,58,1015,258,2702775
TDMArbiter,pntrch01-trace,OK,11.97,1197,52,720,258,1570997
TDMArbiter,basefp01-trace,TIMEOUT,
TDMArbiter,aifirf01-trace,OK,10.38,1293,56,689,258,1184815
TDMArbiter,rspeed01-trace,OK,11.74,1247,59,676,258,1994552
TDMArbiter,iirflt01-trace,INCOMPLETE,
TDMArbiter,a2time01-trace,OK,10.90,2689,53,1422,255,1147560
TDMArbiter,empty-trace,OK,10.08,1318,56,732,255,810420
