arbiter,benchmark,status,avg,wcTotal,wcEff,wcL1stall,wcReqBus,wcL2stall,wcL2access,wcRespBus,wcDramBus,wcDRAM,finish
FCFSArbiter,volrend,OK,2.45,335,293,306,16,297,58,321,6,294,265890765
FCFSArbiter,radix,OK,7.24,390,336,370,16,297,86,321,13,375,848708295
FCFSArbiter,barnes,OK,3.20,341,299,325,16,297,61,337,5,293,240620395
FCFSArbiter,fft,OK,4.51,344,307,336,16,297,76,326,5,333,476903077
FCFSArbiter,cholesky,OK,5.11,335,304,310,16,297,65,321,6,294,221677703
FCFSArbiter,lu_non_contig,OK,4.81,402,310,370,16,297,131,334,7,293,108385217
FCFSArbiter,fmm,OK,3.64,340,310,324,16,297,157,321,7,288,85401943
FCFSArbiter,water_spatial,OK,2.88,335,290,303,16,297,55,321,5,288,122992044
FCFSArbiter,ocean,OK,6.32,405,351,377,16,297,144,341,10,374,50225393
FCFSArbiter,water_nsquared,OK,3.35,335,284,299,16,297,53,321,5,294,84518719
RRArbiter,volrend,OK,2.45,335,281,313,16,292,62,321,5,294,265890135
RRArbiter,radix,OK,7.22,395,348,381,16,292,111,321,13,378,848574244
RRArbiter,barnes,OK,3.20,361,286,340,16,292,65,336,5,294,240619126
RRArbiter,fft,OK,4.50,365,283,354,16,292,64,326,8,354,476898515
RRArbiter,cholesky,OK,5.13,340,289,318,16,292,79,330,6,294,221687243
RRArbiter,lu_non_contig,OK,4.81,403,286,366,16,292,149,348,5,294,108413804
RRArbiter,fmm,OK,3.64,338,287,326,16,292,137,321,6,288,85359308
RRArbiter,water_spatial,OK,2.88,335,282,322,16,292,51,321,4,288,122988639
RRArbiter,ocean,OK,6.27,385,344,357,17,296,216,375,8,365,50264790
RRArbiter,water_nsquared,OK,3.35,337,281,307,16,292,59,321,9,294,84511607
TDMArbiter,volrend,OK,2.68,629,300,528,64,356,339,616,4,276,267220910
TDMArbiter,radix,INCOMPLETE,
TDMArbiter,barnes,OK,2.84,443,300,396,64,401,363,430,4,276,241806085
TDMArbiter,fft,OK,4.86,443,301,402,64,401,162,430,4,340,478032660
TDMArbiter,cholesky,INCOMPLETE,
TDMArbiter,lu_non_contig,TIMEOUT,4.99,1017,301,877,64,470,605,619,2,275,41881198
TDMArbiter,fmm,OK,3.95,867,301,426,67,401,854,854,4,276,86824585
TDMArbiter,water_spatial,OK,3.06,446,299,411,64,401,434,434,2,276,123592832
TDMArbiter,ocean,INCOMPLETE,
TDMArbiter,water_nsquared,OK,3.65,518,299,448,64,356,514,514,2,276,84881932
