llc_size_bytes,benchmark,status,avg,wcTotal,wcReqBus,wcRespBus,wcDRAM,finish
16384,cacheb01-trace,INCOMPLETE,
16384,ttsprk01-trace,OK,9.58,728,16,375,267,2566200
16384,pntrch01-trace,OK,9.40,855,18,463,267,1381913
16384,basefp01-trace,OK,10.30,764,14,365,264,1145486
16384,aifirf01-trace,OK,9.45,799,14,386,264,1093993
16384,rspeed01-trace,OK,9.11,869,16,361,264,1813064
16384,iirflt01-trace,OK,10.03,837,16,377,264,1093201
16384,a2time01-trace,OK,9.64,818,15,392,264,1050998
16384,empty-trace,OK,8.54,880,14,365,270,722496
32768,cacheb01-trace,OK,11.70,871,16,387,267,1632099
32768,ttsprk01-trace,OK,9.37,822,16,420,267,2554374
32768,pntrch01-trace,OK,9.00,795,16,378,267,1358685
32768,basefp01-trace,OK,9.94,815,17,387,264,1126108
32768,aifirf01-trace,OK,9.18,800,13,377,264,1077076
32768,rspeed01-trace,OK,8.98,817,18,368,264,1803940
32768,iirflt01-trace,OK,9.74,829,16,384,264,1077734
32768,a2time01-trace,OK,9.14,750,15,378,264,1022382
32768,empty-trace,OK,8.17,828,17,367,270,708054
65536,cacheb01-trace,OK,10.23,838,16,414,267,1563897
65536,ttsprk01-trace,OK,9.23,925,16,427,267,2543400
65536,pntrch01-trace,OK,8.90,825,15,368,264,1351919
65536,basefp01-trace,OK,9.64,804,17,398,264,1110108
65536,aifirf01-trace,OK,8.89,800,14,375,264,1064057
65536,rspeed01-trace,OK,8.74,962,16,367,264,1792994
65536,iirflt01-trace,OK,9.21,916,17,386,264,1047231
65536,a2time01-trace,OK,8.95,856,16,368,264,1013627
65536,empty-trace,OK,7.90,839,16,388,270,698110
