llc_size_bytes,benchmark,status,avg,wcTotal,wcEff,wcL1stall,wcReqBus,wcL2stall,wcL2access,wcRespBus,wcDramBus,wcDRAM,finish
16384,volrend,OK,5.30,370,302,327,16,342,75,356,7,291,271139929
16384,radix,OK,15.46,370,320,355,16,342,99,356,11,315,982089912
16384,barnes,OK,4.14,357,297,342,16,297,70,329,6,293,248635921
16384,fft,OK,5.52,371,305,360,16,332,61,346,7,349,478275161
16384,cholesky,OK,5.94,347,324,341,16,297,60,321,7,294,223637413
16384,lu_non_contig,OK,11.53,360,324,341,16,332,75,346,5,337,143876402
16384,fmm,OK,5.79,360,317,346,16,332,88,346,11,327,91176206
16384,water_spatial,OK,5.21,360,305,330,16,332,66,346,7,288,126130062
16384,ocean,OK,7.82,393,377,383,17,342,111,370,10,359,54431696
16384,water_nsquared,OK,5.54,370,315,347,16,342,82,356,7,291,85846395
32768,volrend,OK,2.45,335,293,306,16,297,58,321,6,294,265890765
32768,radix,OK,7.24,390,336,370,16,297,86,321,13,375,848708295
32768,barnes,OK,3.20,341,299,325,16,297,61,337,5,293,240620395
32768,fft,OK,4.51,344,307,336,16,297,76,326,5,333,476903077
32768,cholesky,OK,5.11,335,304,310,16,297,65,321,6,294,221677703
32768,lu_non_contig,OK,4.81,402,310,370,16,297,131,334,7,293,108385217
32768,fmm,OK,3.64,340,310,324,16,297,157,321,7,288,85401943
32768,water_spatial,OK,2.88,335,290,303,16,297,55,321,5,288,122992044
32768,ocean,OK,6.32,405,351,377,16,297,144,341,10,374,50225393
32768,water_nsquared,OK,3.35,335,284,299,16,297,53,321,5,294,84518719
65536,volrend,OK,2.01,335,281,300,16,297,73,321,3,294,264717675
65536,radix,OK,5.84,457,318,389,16,297,210,321,11,362,834417169
65536,barnes,OK,2.44,386,287,345,16,297,72,333,5,293,235786762
65536,fft,OK,4.04,367,304,341,16,297,82,363,5,293,476003604
65536,cholesky,OK,4.58,335,305,313,16,297,153,321,5,294,219656362
65536,lu_non_contig,OK,3.30,352,284,326,16,297,223,334,4,293,101115933
65536,fmm,OK,2.80,373,301,327,16,297,178,321,6,288,81918654
65536,water_spatial,OK,1.84,335,281,289,16,297,82,321,3,288,119786041
65536,ocean,OK,4.64,446,329,412,18,297,380,415,8,385,46494510
65536,water_nsquared,OK,2.22,335,281,296,16,297,81,321,3,294,83946248
