memory_model,benchmark,status,avg,wcTotal,wcEff,wcL1stall,wcReqBus,wcL2stall,wcL2access,wcRespBus,wcDramBus,wcDRAM,finish
MainMemoryController,cacheb01-trace,OK,11.68,820,294,778,17,294,200,398,2,267,1633397
MainMemoryController,ttsprk01-trace,OK,9.30,824,294,735,17,297,209,419,2,267,2548931
MainMemoryController,pntrch01-trace,OK,9.15,898,294,618,17,306,200,389,2,267,1364800
MainMemoryController,basefp01-trace,OK,10.09,876,301,717,17,301,196,380,2,264,1135327
MainMemoryController,aifirf01-trace,OK,9.32,993,294,905,14,286,209,398,3,264,1085757
MainMemoryController,rspeed01-trace,OK,8.99,757,301,651,17,301,230,367,3,264,1803994
MainMemoryController,iirflt01-trace,OK,9.61,840,301,665,17,301,203,379,2,264,1071568
MainMemoryController,a2time01-trace,OK,9.25,775,282,642,14,286,208,379,2,264,1029268
MainMemoryController,empty-trace,OK,8.38,856,294,713,14,293,230,393,2,270,716495
MCsim,cacheb01-trace,OK,7.74,1222,205,1022,13,309,235,473,4,22,1399784
MCsim,ttsprk01-trace,OK,3.79,1004,155,817,13,172,239,339,3,22,2219047
MCsim,pntrch01-trace,OK,3.58,752,189,677,12,151,244,304,3,22,1048716
MCsim,basefp01-trace,OK,3.76,889,183,732,15,169,247,348,3,19,771325
MCsim,aifirf01-trace,OK,3.47,918,140,840,12,175,300,363,3,20,763548
MCsim,rspeed01-trace,OK,3.45,884,179,822,12,210,336,392,2,18,1506488
MCsim,iirflt01-trace,OK,3.56,729,167,681,16,145,193,270,3,19,741868
MCsim,a2time01-trace,OK,3.62,698,218,598,13,163,220,273,2,15,729968
MCsim,empty-trace,OK,3.79,673,148,671,11,131,257,257,3,18,526086
