perfect_llc,benchmark,status,avg,wcTotal,wcEff,wcL1stall,wcReqBus,wcL2stall,wcL2access,wcRespBus,wcDramBus,wcDRAM,finish
1,cacheb01-trace,INCOMPLETE,7.29,192080,188350,191844,27,189259,389,102,0,0,NA
1,ttsprk01-trace,OK,3.36,685,182,518,17,255,447,84,0,0,2200927
1,pntrch01-trace,OK,3.21,628,199,558,16,217,311,75,0,0,1043312
1,basefp01-trace,OK,3.35,713,165,677,14,195,342,108,0,0,752772
1,aifirf01-trace,OK,3.20,521,144,465,16,241,336,90,0,0,760709
1,rspeed01-trace,OK,3.30,791,177,612,18,264,312,51,0,0,1499025
1,iirflt01-trace,OK,3.18,950,139,934,20,215,337,53,0,0,728001
1,a2time01-trace,OK,3.19,627,204,505,20,269,360,49,0,0,720905
1,empty-trace,OK,3.58,907,200,635,16,230,382,35,0,0,522284
1,mi_pingpong,OK,2.76,25,25,19,7,1,1,8,0,0,81
0,cacheb01-trace,INCOMPLETE,
0,ttsprk01-trace,INCOMPLETE,17.07,99,31,75,7,6,1,4,0,0,NA
0,pntrch01-trace,INCOMPLETE,
0,basefp01-trace,INCOMPLETE,
0,aifirf01-trace,INCOMPLETE,17.07,99,31,75,7,6,1,4,0,0,NA
0,rspeed01-trace,INCOMPLETE,
0,iirflt01-trace,INCOMPLETE,
0,a2time01-trace,INCOMPLETE,
0,empty-trace,INCOMPLETE,
0,mi_pingpong,OK,3.26,31,31,21,7,6,1,9,0,0,77
