perfect_llc:ooo,benchmark,status,avg,wcTotal,wcEff,wcL1stall,wcReqBus,wcL2stall,wcL2access,wcRespBus,wcDramBus,wcDRAM,wcL1access,finish,wcOldest
0:1,a2time01-trace,OK,9.89,277,277,1,7,253,72,30,6,245,4,1507167,277
0:8,a2time01-trace,OK,5.50,931,356,807,16,499,341,85,7,572,8,820751,414
1:1,a2time01-trace,OK,5.31,78,78,1,7,49,69,31,0,0,4,1198239,78
1:8,a2time01-trace,OK,3.16,581,152,565,19,283,381,60,0,0,8,715508,288
2:1,a2time01-trace,OK,5.23,77,77,1,7,57,67,24,0,0,3,1186523,77
2:8,a2time01-trace,OK,3.22,600,200,521,14,294,353,67,0,0,8,715472,375
0:1,aifirf01-trace,OK,10.56,283,283,1,7,253,79,25,6,245,4,1624611,283
0:8,aifirf01-trace,OK,6.02,672,319,582,29,543,379,80,7,541,8,888831,470
1:1,aifirf01-trace,OK,4.46,73,73,1,7,42,63,23,0,0,4,1193768,73
1:8,aifirf01-trace,OK,3.11,626,190,466,16,335,412,90,0,0,8,756213,281
2:1,aifirf01-trace,OK,5.24,97,97,1,7,46,84,27,0,0,3,1250640,97
2:8,aifirf01-trace,OK,3.23,627,121,566,16,233,478,90,0,0,8,761365,260
0:1,basefp01-trace,OK,11.18,288,288,1,7,253,78,25,6,247,4,1675342,288
0:8,basefp01-trace,OK,5.67,775,457,619,21,603,362,113,8,753,8,864832,512
1:1,basefp01-trace,OK,4.43,104,104,1,7,49,95,23,0,0,4,1192313,104
1:8,basefp01-trace,OK,3.28,635,133,601,16,286,313,94,0,0,8,749260,339
2:1,basefp01-trace,OK,5.20,74,74,1,7,55,63,28,0,0,3,1258319,74
2:8,basefp01-trace,OK,3.23,699,195,668,16,262,317,95,0,0,8,749512,320
0:1,cacheb01-trace,OK,24.93,277,277,1,7,260,71,33,7,253,4,3340861,277
0:8,cacheb01-trace,OK,8.58,9660,622,1796,30,8412,388,166,8,9633,8,1443196,9633
1:1,cacheb01-trace,OK,9.26,163,163,1,7,90,143,38,0,0,4,2017048,163
1:8,cacheb01-trace,OK,6.16,1148,246,982,16,599,307,204,0,0,8,1302114,600
2:1,cacheb01-trace,OK,15.69,158,158,1,7,89,149,28,0,0,3,2569480,158
2:8,cacheb01-trace,OK,7.97,662,258,568,17,543,652,90,0,0,8,1470991,444
0:1,empty-trace,OK,10.11,294,294,1,7,261,79,23,6,253,4,1099250,294
0:8,empty-trace,OK,5.39,697,313,592,17,402,289,88,7,434,8,581694,383
1:1,empty-trace,OK,6.16,109,109,1,7,35,99,28,0,0,4,891023,109
1:8,empty-trace,OK,3.54,737,125,576,17,284,337,70,0,0,8,521961,298
2:1,empty-trace,OK,5.83,74,74,1,7,47,65,22,0,0,3,880665,74
2:8,empty-trace,OK,3.58,818,138,618,18,313,346,64,0,0,8,521588,320
0:1,iirflt01-trace,OK,11.29,317,317,1,7,298,73,27,6,291,4,1632300,317
0:8,iirflt01-trace,OK,6.04,766,439,683,24,719,383,96,8,743,8,855543,732
1:1,iirflt01-trace,OK,5.25,126,126,1,7,45,116,27,0,0,4,1216846,126
1:8,iirflt01-trace,OK,3.20,635,156,559,17,398,410,70,0,0,8,728578,315
2:1,iirflt01-trace,OK,4.53,92,92,1,7,56,83,21,0,0,3,1166063,92
2:8,iirflt01-trace,OK,3.22,635,133,555,16,402,411,65,0,0,8,728987,315
0:1,mi_pingpong,OK,11.07,120,120,1,7,90,1,5,6,98,2,224,120
0:8,mi_pingpong,OK,10.46,120,120,110,7,90,1,5,6,98,8,157,120
1:1,mi_pingpong,OK,3.37,25,25,1,7,5,1,14,0,0,3,148,25
1:8,mi_pingpong,OK,2.76,25,25,19,7,5,1,14,0,0,8,81,25
2:1,mi_pingpong,OK,3.37,25,25,1,7,5,1,14,0,0,3,148,25
2:8,mi_pingpong,OK,2.76,25,25,19,7,5,1,14,0,0,8,81,25
0:1,pntrch01-trace,OK,10.50,307,307,1,7,298,127,25,6,291,4,1921789,307
0:8,pntrch01-trace,OK,5.70,799,340,705,26,650,472,85,7,643,8,1160313,550
1:1,pntrch01-trace,OK,4.50,82,82,1,7,46,72,25,0,0,4,1491637,82
1:8,pntrch01-trace,OK,3.45,763,216,619,22,282,320,76,0,0,8,1045994,327
2:1,pntrch01-trace,OK,5.40,92,92,1,7,64,83,34,0,0,3,1549804,92
2:8,pntrch01-trace,OK,3.24,639,181,613,15,278,404,71,0,0,8,1038950,414
0:1,rspeed01-trace,OK,10.06,279,279,1,7,256,70,23,6,253,4,2327931,279
0:8,rspeed01-trace,OK,5.60,944,340,830,19,563,399,104,8,583,8,1606854,425
1:1,rspeed01-trace,OK,4.35,80,80,1,7,34,71,24,0,0,4,1925322,80
1:8,rspeed01-trace,OK,3.05,635,133,555,13,335,398,72,0,0,8,1488757,315
2:1,rspeed01-trace,OK,4.44,70,70,1,7,47,61,19,0,0,3,1931720,70
2:8,rspeed01-trace,OK,3.09,742,143,596,14,248,277,58,0,0,8,1491463,403
0:1,ttsprk01-trace,OK,10.40,286,286,1,7,266,84,31,6,260,4,3211258,286
0:8,ttsprk01-trace,OK,5.67,785,341,760,19,384,407,149,8,608,8,2324852,624
1:1,ttsprk01-trace,OK,5.46,70,70,1,7,40,61,32,0,0,4,2833460,70
1:8,ttsprk01-trace,OK,3.35,671,175,528,17,419,426,118,0,0,8,2200791,449
2:1,ttsprk01-trace,OK,5.55,82,82,1,7,44,73,33,0,0,3,2843549,82
2:8,ttsprk01-trace,OK,3.64,617,147,513,19,254,437,144,0,0,8,2211644,280
