bench            ooo       hits coalesced | indep wc:   Tot   L2s   L2a  Resp | coal wc:   Tot   L2s
a2time01-trace   1       271913      9472 |    81    57    72    30 |   277   253
aifirf01-trace   1       283778     10150 |    88    47    79    25 |   283   253
basefp01-trace   1       285681     11555 |    87    71    78    25 |   288   253
cacheb01-trace   1       326658     47976 |    80    50    71    33 |   277   260
iirflt01-trace   1       275591     10770 |    92    48    73    27 |   317   298
pntrch01-trace   1       289760     10701 |   136    56   127    25 |   307   298
rspeed01-trace   1       280674      9699 |    85    48    70    23 |   279   256
ttsprk01-trace   1       302643     10704 |    93    64    84    31 |   286   266
a2time01-trace   8       271848     23677 |   931   361   341    85 |   514   499
aifirf01-trace   8       283705     32951 |   672   369   379    80 |   567   543
basefp01-trace   8       285489     30380 |   724   375   362   113 |   611   603
cacheb01-trace   8       331839     43869 |   771   382   388   163 |  8427  8412
iirflt01-trace   8       275327     34849 |   680   379   383    94 |   731   719
pntrch01-trace   8       289651     24088 |   799   453   472    85 |   670   650
rspeed01-trace   8       280641     25801 |   944   391   399   104 |   613   563
ttsprk01-trace   8       302603     27401 |   785   360   407   149 |   618   384
