cell,bench,rows,L1hit,stable,transient,coalesced,miss,stable_wcTot,stable_wcOld,stable_wcL2s,stable_wcL2a,stable_wcResp,transient_wcTot,transient_wcOld,transient_wcL2s,coalesced_wcTot,coalesced_wcOld,coalesced_wcL2s,miss_wcTot,miss_wcOld,miss_wcResp,miss_wcDRAM,oldStable_respAhead_mean,oldStable_respAhead_max,oldStable_refillsAhead_mean,oldStable_arrayAhead_mean,oldStable_arrayAhead_max,oldStable_arrayWrites_mean,oldMiss_respAhead_mean,oldMiss_respAhead_max,neverOldest_pct,stall_S_d_n,stall_S_d_wcL2s,stall_I_d_n,stall_I_d_wcL2s,stall_MN_d_n,stall_MN_d_wcL2s,stall_IorS_a_n,stall_IorS_a_wcL2s,stall_N_a_n,stall_N_a_wcL2s,stall_fetch_n,stall_fetch_wcL2s,stall_gateonly_n,stall_gateonly_wcL2s
0:1,a2time01-trace,275304,172522,86667,3345,9379,3391,81,81,57,72,30,72,72,38,277,277,253,261,261,17,245,0.00,0,0.00,0.1,7,0.0,0.00,0,0.0,5305,250,0,0,0,0,0,0,0,0,3271,253,36972,244
0:8,a2time01-trace,275304,195443,66688,6020,3697,3456,591,240,251,341,85,931,403,361,514,368,499,601,414,50,572,0.06,3,0.00,0.5,40,0.2,0.06,2,30.3,4686,374,3,26,0,0,0,0,0,0,1892,499,27726,459
1:1,a2time01-trace,275304,182198,91964,1142,0,0,78,78,49,69,31,62,62,31,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,1033,29,1,6,0,0,0,0,0,0,0,0,11749,49
1:8,a2time01-trace,275304,218654,53846,2803,1,0,581,233,283,381,60,575,288,229,28,0,19,0,0,0,0,0.04,4,0.00,0.5,41,0.2,0.00,0,21.4,2248,193,11,21,2,29,0,0,0,0,0,0,7093,283
2:1,a2time01-trace,275304,186271,87674,1359,0,0,77,77,57,67,24,60,60,30,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,1241,28,3,6,0,0,0,0,0,0,0,0,9671,57
2:8,a2time01-trace,275304,217377,54955,2972,0,0,585,277,294,353,67,600,375,218,0,0,0,0,0,0,0,0.04,3,0.00,0.6,35,0.2,0.00,0,21.9,2372,218,6,24,0,0,0,0,0,0,0,0,7361,294
0:1,aifirf01-trace,287332,177618,92463,3649,10048,3554,88,88,47,79,25,66,66,46,283,283,253,261,261,17,245,0.00,0,0.00,0.1,7,0.0,0.00,0,0.0,5693,253,0,0,0,0,0,0,0,0,3449,252,39432,248
0:8,aifirf01-trace,287332,201665,70589,6210,5241,3627,594,350,292,379,80,672,394,369,567,373,543,582,470,47,541,0.06,4,0.00,0.6,43,0.2,0.06,2,32.7,5444,543,6,13,1,15,0,0,0,0,2095,539,32068,512
1:1,aifirf01-trace,287332,212624,73786,922,0,0,73,73,42,63,23,61,61,27,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,881,24,7,5,1,4,0,0,0,0,0,0,4808,42
1:8,aifirf01-trace,287332,229872,54548,2912,0,0,520,255,335,412,90,626,281,226,0,0,0,0,0,0,0,0.05,4,0.00,0.6,41,0.3,0.00,0,21.7,2422,161,11,18,5,27,0,0,0,0,0,0,6844,335
2:1,aifirf01-trace,287332,193130,92918,1284,0,0,97,97,46,84,27,61,61,38,0,0,0,0,0,0,0,0.00,0,0.00,0.0,8,0.0,0.00,0,0.0,1168,29,3,4,0,0,0,0,0,0,0,0,9268,46
