cell,bench,rows,L1hit,stable,transient,coalesced,miss,stable_wcTot,stable_wcOld,stable_wcL2s,stable_wcL2a,stable_wcResp,transient_wcTot,transient_wcOld,transient_wcL2s,coalesced_wcTot,coalesced_wcOld,coalesced_wcL2s,miss_wcTot,miss_wcOld,miss_wcResp,miss_wcDRAM,oldStable_respAhead_mean,oldStable_respAhead_max,oldStable_refillsAhead_mean,oldStable_arrayAhead_mean,oldStable_arrayAhead_max,oldStable_arrayWrites_mean,oldMiss_respAhead_mean,oldMiss_respAhead_max,neverOldest_pct,stall_S_d_n,stall_S_d_wcL2s,stall_I_d_n,stall_I_d_wcL2s,stall_MN_d_n,stall_MN_d_wcL2s,stall_IorS_a_n,stall_IorS_a_wcL2s,stall_N_a_n,stall_N_a_wcL2s,stall_fetch_n,stall_fetch_wcL2s,stall_gateonly_n,stall_gateonly_wcL2s
0:1,barnes,45018286,43136219,795247,4164,7867,1074789,58,58,30,49,32,50,50,17,549,549,540,767,767,22,751,0.00,0,0.00,0.0,5,0.0,0.00,0,0.0,1007,286,1551,11,1809,12,0,0,0,0,7638,540,8069,150
0:8,barnes,45018286,43228692,716293,3722,4858,1064721,438,61,59,68,34,502,66,34,865,716,856,1420,1419,46,1404,0.00,2,0.00,0.0,8,0.0,0.00,3,23.3,1672,605,209,12,2254,19,0,0,0,0,4362,856,3913,298
1:1,barnes,45018286,43157807,1856052,4427,0,0,72,72,27,62,27,57,57,20,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,371,16,1681,12,2374,20,0,0,0,0,0,0,1829,27
1:8,barnes,45018286,43199302,1814451,4533,0,0,158,77,79,149,79,188,77,43,0,0,0,0,0,0,0,0.00,2,0.00,0.0,18,0.0,0.00,0,3.6,1169,26,541,30,2819,43,0,0,0,0,0,0,4907,79
2:1,barnes,45018286,43496648,1520542,1096,0,0,63,63,27,54,17,55,55,18,0,0,0,0,0,0,0,0.00,0,0.00,0.0,5,0.0,0.00,0,0.0,384,18,711,8,0,0,0,0,0,0,0,0,2069,27
2:8,barnes,45018286,43536664,1480387,1235,0,0,158,107,79,149,79,188,91,26,0,0,0,0,0,0,0,0.00,4,0.00,0.0,18,0.0,0.00,0,3.0,1145,26,87,10,0,0,0,0,0,0,0,0,3567,79
0:1,cholesky,11571609,10597377,508828,22223,209,442972,68,68,5,59,18,76,76,19,579,579,570,908,908,18,892,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,27,258,21504,19,715,14,0,0,0,0,185,570,9,5
0:8,cholesky,11571609,10848063,311380,3403,756,408007,151,60,41,114,35,210,62,25,1172,916,1163,1493,1395,37,1477,0.00,1,0.00,0.0,9,0.0,0.01,3,26.4,145,630,1563,24,1780,23,0,0,0,0,668,1163,119,41
1:1,cholesky,11571609,10586214,958327,27068,0,0,123,123,14,114,36,100,100,28,0,0,0,0,0,0,0,0.00,0,0.00,0.0,12,0.0,0.00,0,0.0,10,11,22950,19,4108,28,0,0,0,0,0,0,287,14
1:8,cholesky,11571609,10711643,846894,13072,0,0,198,159,53,131,129,411,350,394,0,0,0,0,0,0,0,0.00,5,0.00,0.0,18,0.0,0.00,0,9.3,25,89,3432,102,9615,394,0,0,0,0,0,0,812,53
2:1,cholesky,11571609,10656589,891843,23177,0,0,141,141,29,129,23,112,112,10,0,0,0,0,0,0,0,0.00,0,0.00,0.0,13,0.0,0.00,0,0.0,2,2,23175,10,0,0,0,0,0,0,0,0,8,29
2:8,cholesky,11571609,10780246,789527,1836,0,0,53563,53509,48,53552,61,430,374,70,0,0,0,0,0,0,0,0.00,4,0.00,0.3,7356,0.2,0.00,0,9.1,10,70,1826,22,0,0,0,0,0,0,0,0,28,48
0:1,cholesky_iso,11571609,10597377,508828,22223,209,442972,68,68,5,59,18,76,76,19,579,579,570,908,908,18,892,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,27,258,21504,19,715,14,0,0,0,0,185,570,9,5
0:8,cholesky_iso,11571609,10848063,311380,3403,756,408007,151,60,41,114,35,210,62,25,1172,916,1163,1493,1395,37,1477,0.00,1,0.00,0.0,9,0.0,0.01,3,26.4,145,630,1563,24,1780,23,0,0,0,0,668,1163,119,41
1:1,cholesky_iso,11571609,10586214,958327,27068,0,0,123,123,14,114,36,100,100,28,0,0,0,0,0,0,0,0.00,0,0.00,0.0,12,0.0,0.00,0,0.0,10,11,22950,19,4108,28,0,0,0,0,0,0,287,14
1:8,cholesky_iso,11571609,10711643,846894,13072,0,0,198,159,53,131,129,411,350,394,0,0,0,0,0,0,0,0.00,5,0.00,0.0,18,0.0,0.00,0,9.3,25,89,3432,102,9615,394,0,0,0,0,0,0,812,53
2:1,cholesky_iso,11571609,10656589,891843,23177,0,0,141,141,29,129,23,112,112,10,0,0,0,0,0,0,0,0.00,0,0.00,0.0,13,0.0,0.00,0,0.0,2,2,23175,10,0,0,0,0,0,0,0,0,8,29
2:8,cholesky_iso,11571609,10780246,789527,1836,0,0,53563,53509,48,53552,61,430,374,70,0,0,0,0,0,0,0,0.00,4,0.00,0.3,7356,0.2,0.00,0,9.1,10,70,1826,22,0,0,0,0,0,0,0,0,28,48
0:1,fft,14563592,14231154,38338,2171,65,291864,45,45,9,36,14,53,53,12,269,269,260,1103,1103,17,1087,0.00,0,0.00,0.0,4,0.0,0.00,0,0.0,22,114,1485,12,679,12,0,0,0,0,50,260,18,9
0:8,fft,14563592,14248258,33538,1217,86,280493,205,47,22,42,22,215,34,12,444,306,414,1727,1492,28,1711,0.00,1,0.00,0.0,4,0.0,0.00,1,11.9,28,414,46,12,1165,12,0,0,0,0,62,410,34,22
1:1,fft,14563592,14241852,318984,2756,0,0,60,60,8,50,36,85,85,42,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,2,3,1899,17,855,42,0,0,0,0,0,0,152,8
1:8,fft,14563592,14255265,305074,3253,0,0,179,179,79,119,170,1062,1062,1044,0,0,0,0,0,0,0,0.00,3,0.00,0.0,20,0.0,0.00,0,3.0,5,26,280,103,2968,1044,0,0,0,0,0,0,1418,79
