2     1    a2time01   |    77    77 |     0     0 |     0     0 | 0
2     1    aifirf01   |    97    97 |     0     0 |     0     0 | 0
2     1    basefp01   |    74    74 |     0     0 |     0     0 | 0
2     1    cacheb01   |   158   158 |     0     0 |     0     0 | 0
2     1    iirflt01   |    92    92 |     0     0 |     0     0 | 0
2     1    pntrch01   |    92    92 |     0     0 |     0     0 | 0
2     1    rspeed01   |    70    70 |     0     0 |     0     0 | 0
2     1    ttsprk01   |    82    82 |     0     0 |     0     0 | 0
1     1    a2time01   |    78    78 |     0     0 |     0     0 | 0
1     1    aifirf01   |    73    73 |     0     0 |     0     0 | 0
1     1    basefp01   |   104   104 |     0     0 |     0     0 | 0
1     1    cacheb01   |   163   163 |     0     0 |     0     0 | 0
1     1    iirflt01   |   126   126 |     0     0 |     0     0 | 0
1     1    pntrch01   |    82    82 |     0     0 |     0     0 | 0
1     1    rspeed01   |    80    80 |     0     0 |     0     0 | 0
1     1    ttsprk01   |    70    70 |     0     0 |     0     0 | 0
0     1    a2time01   |    81    81 |   277   277 |   261   261 | 0
0     1    aifirf01   |    88    88 |   283   283 |   261   261 | 0
0     1    basefp01   |    87    87 |   288   288 |   263   263 | 0
0     1    cacheb01   |    80    80 |   277   277 |   269   269 | 0
0     1    iirflt01   |    92    92 |   317   317 |   307   307 | 0
0     1    pntrch01   |   136   136 |   307   307 |   307   307 | 0
0     1    rspeed01   |    85    85 |   279   279 |   269   269 | 0
0     1    ttsprk01   |    93    93 |   286   286 |   276   276 | 0
2     8    a2time01   |   600   375 |     0     0 |     0     0 | 22
2     8    aifirf01   |   627   260 |     0     0 |     0     0 | 22
2     8    basefp01   |   699   320 |     0     0 |     0     0 | 22
2     8    cacheb01   |   662   444 |     0     0 |     0     0 | 30
2     8    iirflt01   |   635   315 |     0     0 |     0     0 | 22
2     8    pntrch01   |   639   414 |     0     0 |     0     0 | 22
2     8    rspeed01   |   742   403 |     0     0 |     0     0 | 21
2     8    ttsprk01   |   617   280 |     0     0 |     0     0 | 26
1     8    a2time01   |   581   288 |     0     0 |     0     0 | 21
1     8    aifirf01   |   626   281 |     0     0 |     0     0 | 22
1     8    basefp01   |   635   339 |     0     0 |     0     0 | 23
1     8    cacheb01   |  1148   600 |     0     0 |     0     0 | 34
1     8    iirflt01   |   635   315 |     0     0 |     0     0 | 22
1     8    pntrch01   |   763   327 |     0     0 |     0     0 | 24
1     8    rspeed01   |   635   315 |     0     0 |     0     0 | 20
1     8    ttsprk01   |   671   449 |     0     0 |     0     0 | 24
0     8    a2time01   |   931   403 |   514   368 |   601   414 | 30
0     8    aifirf01   |   672   394 |   567   373 |   582   470 | 33
0     8    basefp01   |   724   373 |   611   476 |   775   512 | 33
0     8    cacheb01   |   771   369 |  8427  8367 |  9660  9633 | 40
0     8    iirflt01   |   680   337 |   731   731 |   766   732 | 34
0     8    pntrch01   |   799   444 |   670   538 |   659   550 | 33
0     8    rspeed01   |   944   420 |   613   424 |   600   425 | 31
0     8    ttsprk01   |   785   354 |   618   372 |   629   624 | 33
