perfect_llc:ooo,benchmark,status,avg,wcTotal,wcEff,wcL1stall,wcReqBus,wcL2stall,wcL2access,wcRespBus,wcDramBus,wcDRAM,wcL1access,finish,wcOldest
0:1,barnes,OK,5.41,767,767,1,7,540,49,32,9,751,4,304136641,767
0:8,barnes,OK,2.40,1420,1164,1363,16,856,68,46,10,1404,8,236911441,1419
1:1,barnes,OK,2.33,72,72,1,7,27,62,27,0,0,4,268651683,72
1:8,barnes,OK,1.77,188,52,106,11,79,164,79,0,0,8,230617779,77
2:1,barnes,OK,2.26,63,63,1,7,27,54,17,0,0,3,267815378,63
2:8,barnes,OK,1.73,188,75,109,11,79,164,79,0,0,8,230533586,107
0:1,cholesky,OK,7.48,908,908,1,7,570,59,18,8,892,4,259744870,908
0:8,cholesky,OK,3.74,1493,1287,1472,16,1163,114,37,10,1477,8,209956684,1395
1:1,cholesky,OK,2.72,123,123,1,7,28,114,36,0,0,4,228243225,123
1:8,cholesky,OK,1.89,411,118,332,13,394,160,129,0,0,8,198936185,350
2:1,cholesky,OK,2.67,141,141,1,7,29,129,23,0,0,3,228096205,141
2:8,cholesky,OK,1.88,53563,53509,53561,13,70,53552,61,0,0,8,199014723,53509
0:1,cholesky_iso,OK,7.48,908,908,1,7,570,59,18,8,892,4,259744870,908
0:8,cholesky_iso,OK,3.74,1493,1287,1472,16,1163,114,37,10,1477,8,209956684,1395
1:1,cholesky_iso,OK,2.72,123,123,1,7,28,114,36,0,0,4,228243225,123
1:8,cholesky_iso,OK,1.89,411,118,332,13,394,160,129,0,0,8,198936185,350
2:1,cholesky_iso,OK,2.67,141,141,1,7,29,129,23,0,0,3,228096205,141
2:8,cholesky_iso,OK,1.88,53563,53509,53561,13,70,53552,61,0,0,8,199014723,53509
0:1,fft,OK,5.38,1103,1103,1,7,260,39,17,8,1087,3,506613275,1103
0:8,fft,OK,3.46,1727,1430,1721,16,414,51,29,10,1711,8,470099563,1492
1:1,fft,OK,2.19,85,85,1,7,42,64,36,0,0,4,496829181,85
1:8,fft,OK,1.69,1062,906,1050,15,1044,144,170,0,0,8,465954834,1062
2:1,fft,OK,2.19,837,837,1,7,15,828,31,0,0,4,496730824,837
2:8,fft,OK,1.76,2611,2281,2594,15,79,2599,154,0,0,8,466019686,2520
0:1,fmm,OK,7.79,964,964,1,7,604,56,24,10,948,4,123563539,964
0:8,fmm,OK,3.56,1886,1481,1766,16,1006,166,58,12,1870,8,84324658,1694
1:1,fmm,OK,2.49,71,71,1,7,29,58,32,0,0,4,96321325,71
1:8,fmm,OK,1.88,225,92,178,16,79,210,168,0,0,8,76726912,154
2:1,fmm,OK,2.36,90,90,1,7,19,81,21,0,0,3,95700915,90
2:8,fmm,OK,1.82,300,119,189,11,79,287,79,0,0,8,76854026,135
0:1,lu_non_contig,OK,7.61,769,769,1,7,503,109,23,8,753,4,132145368,769
0:8,lu_non_contig,OK,2.97,7627,2554,6708,16,1369,259,56,10,7611,8,95969194,7626
1:1,lu_non_contig,OK,3.99,107,107,1,7,41,93,31,0,0,4,118410132,107
1:8,lu_non_contig,OK,2.21,501,160,467,18,312,329,131,0,0,8,94099782,321
2:1,lu_non_contig,OK,4.16,118,118,1,7,36,104,20,0,0,3,118288862,118
2:8,lu_non_contig,OK,2.35,549,477,547,11,240,540,79,0,0,8,94670223,537
0:1,ocean,OK,15.59,923,923,1,7,515,59,24,9,907,4,88166829,923
0:8,ocean,OK,7.79,2986,2538,2722,16,2062,227,69,12,2970,8,54546085,2921
1:1,ocean,OK,2.78,101,101,1,7,62,89,38,0,0,4,50992915,101
1:8,ocean,OK,2.04,872,590,870,21,854,377,247,0,0,8,39140376,872
2:1,ocean,OK,2.66,208,208,1,7,40,199,22,0,0,3,50620501,208
2:8,ocean,OK,2.05,860,765,814,17,609,851,103,0,0,8,39338450,765
0:1,radiosity,OK,6.92,909,909,1,7,645,53,24,9,893,4,932632612,909
0:8,radiosity,OK,4.20,4428,3592,4421,16,3330,110,79,14,4412,8,529211570,4427
1:1,radiosity,OK,2.52,95,95,1,7,48,81,35,0,0,4,610547584,95
1:8,radiosity,OK,1.94,349,136,203,16,175,149,200,0,0,8,399758367,200
2:1,radiosity,OK,2.44,74,74,1,7,40,62,20,0,0,3,607947741,74
2:8,radiosity,TIMEOUT,5.21,2106527,2106488,2106507,13,77,2106512,100,0,0,8,NA,2106488
0:1,radix,OK,25.69,1419,1419,1,7,434,64,32,12,1403,4,1199836250,1419
0:8,radix,OK,18.16,4922,3596,4447,16,843,84,38,14,4905,8,993077830,4057
1:1,radix,OK,3.29,209,209,1,7,191,118,45,0,0,6,901278054,209
1:8,radix,OK,3.10,2818,1874,2785,17,2806,439,195,0,0,8,802032277,2728
2:1,radix,OK,4.53,174,174,1,7,76,163,30,0,0,3,916299368,174
2:8,radix,OK,4.69,701,448,659,15,381,692,61,0,0,8,819846501,498
0:1,raytrace,OK,9.22,995,995,1,7,540,56,24,10,979,4,2789525658,995
0:8,raytrace,OK,4.29,5635,3587,5624,16,4964,109,48,12,5619,8,2500515722,5417
1:1,raytrace,OK,2.62,70,70,1,7,40,58,35,0,0,4,2638529568,70
1:8,raytrace,OK,1.96,182,101,152,17,91,137,102,0,0,8,2453002800,163
2:1,raytrace,OK,2.45,76,76,1,7,30,66,16,0,0,3,2635350739,76
2:8,raytrace,OK,1.88,257,87,189,13,98,248,70,0,0,8,2452571302,176
0:1,volrend,OK,3.92,685,685,1,7,466,44,19,8,669,4,335731362,685
0:8,volrend,OK,2.09,1155,912,1061,16,706,83,39,12,1139,8,263974380,1060
1:1,volrend,OK,2.25,68,68,1,7,24,56,23,0,0,4,324124824,68
1:8,volrend,OK,1.76,182,82,78,13,70,95,70,0,0,8,261877749,163
2:1,volrend,OK,2.19,53,53,1,7,27,44,13,0,0,3,323746840,53
2:8,volrend,OK,1.72,182,53,87,13,70,129,61,0,0,8,261827127,163
0:1,water_nsquared,OK,5.67,744,744,1,7,396,44,19,8,728,4,94778802,744
0:8,water_nsquared,OK,2.51,1017,791,947,16,808,53,34,10,1001,8,83632876,881
1:1,water_nsquared,OK,2.47,53,53,1,7,16,42,26,0,0,4,90658407,53
1:8,water_nsquared,OK,1.85,182,41,75,13,70,79,65,0,0,8,82414859,163
2:1,water_nsquared,OK,2.32,63,63,1,7,8,54,13,0,0,3,90518432,63
2:8,water_nsquared,OK,1.76,189,183,187,13,70,177,61,0,0,8,82395718,183
0:1,water_spatial,OK,4.51,628,628,1,7,397,37,18,8,612,3,141520317,628
0:8,water_spatial,OK,2.16,1090,799,1007,16,748,53,32,10,1073,8,120654998,1011
1:1,water_spatial,OK,2.26,53,53,1,7,20,41,20,0,0,4,132634932,53
1:8,water_spatial,OK,1.74,122,41,111,17,79,72,79,0,0,8,118834309,77
2:1,water_spatial,OK,2.12,56,56,1,7,8,44,13,0,0,3,132178291,56
2:8,water_spatial,OK,1.66,153,133,146,11,79,140,79,0,0,8,118910006,133
