cell,benchmark,group,arr_n,arr_wc_ahead,arr_avg_ahead,arr_wc_read_own,arr_wc_read_other,arr_wc_wb_own,arr_wc_wb_other,arr_wc_fill,arr_wc_evict,arr_wc_cutin,arr_avg_writes,arr_ctr_writes_mismatch,arr_ctr_ahead_mismatch,resp_n,resp_wc_ahead,resp_avg_ahead,resp_wc_own_hit,resp_wc_own_miss,resp_wc_other_hit,resp_wc_other_miss,resp_wc_supply,resp_wc_wb,resp_avg_own,resp_avg_other,resp_ctr_ahead_mismatch,resp_ctr_ref_mismatch
0_1,a2time01-trace,oldest_hit,13435,8,1.44,0,6,2,3,1,1,2,0.69,7522,13435,14384,5,1.13,0,0,2,1,4,1,0.00,1.12,0,0
0_1,a2time01-trace,miss,3391,1,0.03,0,1,0,1,0,0,0,0.01,18,85,70,3,1.07,0,0,1,0,3,0,0.00,1.07,0,0
0_1,a2time01-trace,all,21734,8,1.36,0,6,2,3,1,1,2,0.78,12448,18428,14860,5,1.13,0,0,2,1,4,1,0.00,1.12,0,0
0_1,aifirf01-trace,oldest_hit,14351,8,1.42,0,6,2,3,1,1,2,0.67,8002,14351,15521,4,1.17,0,0,2,1,3,1,0.00,1.15,0,0
0_1,aifirf01-trace,miss,3554,1,0.02,0,1,0,1,0,0,0,0.00,16,70,51,3,1.14,0,0,1,0,3,1,0.00,1.08,0,0
0_1,aifirf01-trace,all,23161,8,1.36,0,6,2,3,1,1,2,0.78,13274,19677,15955,4,1.16,0,0,2,1,3,1,0.00,1.14,0,0
0_1,basefp01-trace,oldest_hit,16995,8,1.52,0,5,3,3,1,1,2,0.66,8709,16995,13261,4,1.13,0,0,2,1,3,1,0.00,1.09,0,0
0_1,basefp01-trace,miss,4047,1,0.02,0,1,1,1,0,0,0,0.01,30,99,64,2,1.03,0,0,1,0,2,1,0.00,1.00,0,0
0_1,basefp01-trace,all,26857,8,1.42,0,5,3,3,1,1,2,0.76,14554,22909,13645,4,1.12,0,0,2,1,3,1,0.00,1.08,0,0
0_1,cacheb01-trace,oldest_hit,14852,8,1.44,0,6,3,3,1,1,2,0.65,7880,14852,19408,6,1.22,0,0,2,1,5,1,0.00,1.14,0,0
0_1,cacheb01-trace,miss,16182,1,0.00,0,1,0,1,0,0,0,0.00,15,69,59,3,1.14,0,0,1,0,2,1,0.00,1.12,0,0
0_1,cacheb01-trace,all,36021,8,0.88,0,6,3,3,1,1,2,0.48,12878,19908,26799,6,1.16,0,0,2,1,5,1,0.00,0.84,0,0
0_1,empty-trace,oldest_hit,14946,7,1.44,0,6,2,3,1,1,2,0.67,8125,14946,15675,4,1.16,0,0,2,1,3,1,0.00,1.15,0,0
0_1,empty-trace,miss,2054,1,0.06,0,1,0,1,0,0,0,0.01,24,115,90,3,1.11,0,0,1,0,3,1,0.00,1.09,0,0
0_1,empty-trace,all,19217,7,1.36,0,6,2,3,1,1,2,0.70,10366,17278,15980,4,1.16,0,0,2,1,3,1,0.00,1.15,0,0
0_1,iirflt01-trace,oldest_hit,15746,8,1.51,0,5,2,3,1,1,2,0.68,8513,15746,13436,5,1.13,0,0,3,1,3,1,0.00,1.10,0,0
0_1,iirflt01-trace,miss,3813,1,0.02,0,1,0,1,0,1,1,0.01,23,85,72,3,1.08,0,0,1,0,3,0,0.00,1.08,0,0
0_1,iirflt01-trace,all,25130,8,1.42,0,5,2,3,1,1,2,0.78,14106,21402,13874,5,1.13,0,0,3,1,3,1,0.00,1.09,0,0
0_1,mi_pingpong,oldest_hit,0,,,,,,,,,,,,,0,,,,,,,,,,,,
0_1,mi_pingpong,miss,3,1,0.33,0,0,0,1,0,0,0,0.33,1,1,0,,,,,,,,,,,,
0_1,mi_pingpong,all,3,1,0.33,0,0,0,1,0,0,0,0.33,1,1,0,,,,,,,,,,,,
0_1,pntrch01-trace,oldest_hit,15498,13,1.48,0,6,3,4,1,1,2,0.67,8060,15498,15833,4,1.13,0,0,2,1,3,1,0.00,1.12,0,0
0_1,pntrch01-trace,miss,3764,1,0.02,0,1,0,1,0,1,1,0.01,23,77,58,2,1.12,0,0,1,0,2,1,0.00,1.10,0,0
0_1,pntrch01-trace,all,24711,13,1.40,0,6,3,4,1,1,2,0.77,13532,21024,16248,4,1.13,0,0,2,1,3,1,0.00,1.11,0,0
0_1,rspeed01-trace,oldest_hit,14800,7,1.44,0,5,2,3,1,1,2,0.70,8513,14800,13042,4,1.12,0,0,2,1,3,1,0.00,1.11,0,0
0_1,rspeed01-trace,miss,3434,1,0.02,0,1,0,1,0,0,0,0.01,21,76,61,3,1.13,0,0,1,0,3,0,0.00,1.13,0,0
0_1,rspeed01-trace,all,23314,7,1.38,0,5,2,3,1,1,2,0.80,13612,19956,13533,4,1.12,0,0,2,1,3,1,0.00,1.10,0,0
0_1,ttsprk01-trace,oldest_hit,16178,7,1.41,0,5,2,4,1,1,2,0.66,8844,16178,21228,5,1.16,0,0,2,1,4,1,0.00,1.14,0,0
0_1,ttsprk01-trace,miss,3800,1,0.03,0,1,0,1,0,0,0,0.01,26,116,83,2,1.10,0,0,1,0,2,0,0.00,1.10,0,0
0_1,ttsprk01-trace,all,25262,7,1.34,0,5,2,4,1,1,2,0.75,14154,21578,21702,5,1.16,0,0,2,1,4,1,0.00,1.13,0,0
0_8,a2time01-trace,oldest_hit,15261,41,3.34,7,18,9,10,5,5,10,1.51,7654,15256,16016,13,1.68,4,2,4,3,8,2,0.54,1.13,4650,84
0_8,a2time01-trace,miss,3456,1,0.44,1,1,1,1,0,1,1,0.23,798,1515,1062,9,1.71,2,2,3,1,6,2,0.28,1.39,95,42
0_8,a2time01-trace,all,24129,41,3.10,7,18,9,10,5,5,10,1.42,11560,22183,27013,16,1.81,4,2,5,3,10,2,0.53,1.26,8683,216
0_8,aifirf01-trace,oldest_hit,16002,44,3.55,7,20,8,12,9,5,12,1.62,8254,16000,16070,15,1.62,4,2,4,2,11,2,0.53,1.07,4712,107
0_8,aifirf01-trace,miss,3627,1,0.42,1,1,1,1,0,1,1,0.24,853,1532,1120,9,1.73,2,2,3,1,6,3,0.28,1.39,96,36
0_8,aifirf01-trace,all,26275,44,3.27,7,20,8,12,9,5,12,1.54,13310,24178,27781,15,1.75,4,2,4,2,11,3,0.51,1.21,8742,240
0_8,basefp01-trace,oldest_hit,16535,40,3.92,6,17,6,13,6,6,12,1.71,8250,16522,17804,22,1.78,5,3,5,2,15,3,0.50,1.22,4335,130
0_8,basefp01-trace,miss,4239,1,0.46,1,1,1,1,0,1,1,0.25,1039,1954,1488,15,1.84,2,2,3,1,9,2,0.30,1.45,162,77
0_8,basefp01-trace,all,27927,40,3.41,6,17,8,13,6,6,12,1.51,13318,25626,31026,22,1.93,5,3,6,3,15,3,0.51,1.36,9223,326
0_8,cacheb01-trace,oldest_hit,17901,40,3.24,7,21,9,9,6,6,12,1.46,8427,16252,24060,32,4.51,6,4,6,5,22,7,1.01,3.08,8367,713
0_8,cacheb01-trace,miss,11001,3,0.49,2,1,1,1,1,2,3,0.36,3851,5189,7647,33,6.95,5,3,5,4,20,6,0.95,4.90,2564,1602
0_8,cacheb01-trace,all,41385,40,2.29,7,21,9,9,6,6,12,1.14,19067,31028,75381,33,5.41,6,4,6,6,22,7,1.04,3.71,34168,5614
0_8,empty-trace,oldest_hit,14750,35,3.63,6,19,6,10,5,5,10,1.61,7386,14740,17450,17,1.75,4,2,4,2,10,2,0.55,1.18,5183,73
0_8,empty-trace,miss,2142,1,0.58,1,1,1,1,0,1,1,0.29,623,1235,944,13,1.73,3,1,3,1,8,2,0.30,1.39,99,32
0_8,empty-trace,all,21450,35,3.44,6,19,6,10,5,5,10,1.54,10451,20533,28069,17,1.88,5,2,4,2,10,2,0.56,1.30,9587,177
0_8,iirflt01-trace,oldest_hit,15498,40,3.66,7,20,9,13,6,6,12,1.65,7806,15459,17423,16,1.79,5,3,4,2,12,3,0.51,1.23,4371,138
0_8,iirflt01-trace,miss,4077,1,0.46,1,1,1,1,1,1,1,0.25,1000,1886,1467,19,1.91,4,2,5,2,13,2,0.33,1.50,159,68
0_8,iirflt01-trace,all,27239,40,3.23,7,20,9,13,6,6,12,1.51,13546,24995,30504,19,1.94,6,3,6,2,13,3,0.52,1.37,9297,346
0_8,mi_pingpong,oldest_hit,0,,,,,,,,,,,,,0,,,,,,,,,,,,
0_8,mi_pingpong,miss,3,1,0.33,0,0,0,1,0,0,0,0.33,1,1,0,,,,,,,,,,,,
0_8,mi_pingpong,all,3,1,0.33,0,0,0,1,0,0,0,0.33,1,1,0,,,,,,,,,,,,
0_8,pntrch01-trace,oldest_hit,17065,50,3.67,6,23,9,13,9,9,18,1.65,8740,17033,18177,16,1.76,5,3,4,2,9,2,0.53,1.20,4890,131
0_8,pntrch01-trace,miss,3873,2,0.48,1,1,1,1,1,1,1,0.27,1029,1864,1428,14,2.26,3,2,4,1,8,1,0.40,1.79,230,97
0_8,pntrch01-trace,all,27641,50,3.38,6,23,9,13,9,9,18,1.54,13448,25584,33500,16,1.93,5,3,5,3,9,2,0.53,1.37,10397,434
0_8,rspeed01-trace,oldest_hit,16155,40,3.14,6,20,8,12,7,5,10,1.48,8955,16153,15631,14,1.70,4,2,4,3,9,2,0.52,1.16,4248,99
0_8,rspeed01-trace,miss,3467,1,0.44,1,1,1,1,0,1,1,0.23,798,1511,1043,12,1.70,3,2,3,1,8,2,0.26,1.39,87,36
0_8,rspeed01-trace,all,25861,40,2.97,6,20,8,12,7,5,10,1.42,13510,23903,27053,20,1.84,5,3,5,3,11,2,0.53,1.29,8597,225
0_8,ttsprk01-trace,oldest_hit,16954,42,3.31,6,17,7,14,7,7,14,1.50,8490,16945,26996,29,1.89,7,2,6,4,21,3,0.60,1.26,9225,157
0_8,ttsprk01-trace,miss,3845,1,0.41,1,1,1,1,0,1,1,0.23,868,1590,1300,20,2.58,4,2,3,1,15,2,0.46,2.03,167,72
0_8,ttsprk01-trace,all,26887,42,3.03,6,17,7,14,7,7,14,1.41,13037,24622,43895,29,2.37,7,2,6,5,21,3,0.65,1.68,16306,462
