cell,benchmark,status,wall_s,trace_bytes,row_mismatches,double_booking
2:8,a2time01-trace,OK,14,89993168,0,0
2:8,aifirf01-trace,OK,16,93580528,0,0
2:8,basefp01-trace,OK,16,94438912,0,0
2:8,mi_pingpong,OK,1,12368,0,0
2:8,empty-trace,OK,11,72557456,0,0
2:8,cacheb01-trace,OK,25,131701616,0,0
2:8,iirflt01-trace,OK,15,91476288,0,0
2:8,pntrch01-trace,OK,17,95841120,0,0
2:8,rspeed01-trace,OK,17,92367824,0,0
2:8,ttsprk01-trace,OK,22,106902384,0,0
2:1,a2time01-trace,OK,17,103613920,0,0
2:1,aifirf01-trace,OK,18,108817184,0,0
2:1,basefp01-trace,OK,18,109806800,0,0
2:1,mi_pingpong,OK,1,12368,0,0
2:1,empty-trace,OK,12,84632208,0,0
2:1,iirflt01-trace,OK,16,97878640,0,0
2:1,cacheb01-trace,OK,33,171855552,0,0
2:1,rspeed01-trace,OK,19,99166016,0,0
2:1,pntrch01-trace,OK,21,112609120,0,0
2:1,ttsprk01-trace,OK,24,120269792,0,0
0:8,a2time01-trace,OK,17,100077984,0,0
0:8,aifirf01-trace,OK,18,105437552,0,0
0:8,basefp01-trace,OK,18,107495424,0,0
0:8,mi_pingpong,OK,1,12752,0,0
0:8,empty-trace,OK,11,79882864,0,0
0:8,iirflt01-trace,OK,18,103571008,0,0
0:8,cacheb01-trace,OK,27,149414304,0,0
0:8,pntrch01-trace,OK,19,109137136,0,0
0:8,rspeed01-trace,OK,18,103736768,0,0
0:1,a2time01-trace,OK,19,109163792,0,0
0:8,ttsprk01-trace,OK,22,115774688,0,0
0:1,aifirf01-trace,OK,20,114982192,0,0
0:1,basefp01-trace,OK,20,118224368,0,0
0:1,mi_pingpong,OK,1,12752,0,0
0:1,empty-trace,OK,13,90923520,0,0
0:1,iirflt01-trace,OK,19,113272784,0,0
0:1,pntrch01-trace,OK,21,118027152,0,0
0:1,cacheb01-trace,OK,32,164492944,0,0
0:1,rspeed01-trace,OK,20,113963376,0,0
0:1,ttsprk01-trace,OK,21,125338336,0,0
