policy,benchmark,status,avg,wcTotal,wcEff,wcL1stall,wcReqBus,wcL2stall,wcL2access,wcRespBus,wcDramBus,wcDRAM,finish
LRU,cacheb01-trace,OK,11.68,820,294,778,17,294,200,398,2,267,1633397
LRU,ttsprk01-trace,OK,9.30,824,294,735,17,297,209,419,2,267,2548931
LRU,pntrch01-trace,OK,9.15,898,294,618,17,306,200,389,2,267,1364800
LRU,basefp01-trace,OK,10.09,876,301,717,17,301,196,380,2,264,1135327
LRU,aifirf01-trace,OK,9.32,993,294,905,14,286,209,398,3,264,1085757
LRU,rspeed01-trace,OK,8.99,757,301,651,17,301,230,367,3,264,1803994
LRU,iirflt01-trace,OK,9.61,840,301,665,17,301,203,379,2,264,1071568
LRU,a2time01-trace,OK,9.25,775,282,642,14,286,208,379,2,264,1029268
LRU,empty-trace,OK,8.38,856,294,713,14,293,230,393,2,270,716495
RANDOM,cacheb01-trace,OK,11.86,866,294,625,12,295,217,405,2,267,1646981
RANDOM,ttsprk01-trace,OK,9.46,936,294,797,17,308,196,383,3,267,2559983
RANDOM,pntrch01-trace,OK,9.22,743,294,649,15,294,215,392,2,264,1371253
RANDOM,basefp01-trace,OK,10.25,861,301,752,17,301,233,380,3,264,1146461
RANDOM,aifirf01-trace,OK,9.25,795,294,662,16,286,205,375,2,264,1082576
RANDOM,rspeed01-trace,OK,9.04,766,301,597,13,301,228,381,2,264,1810187
RANDOM,iirflt01-trace,OK,9.87,960,301,820,17,301,191,375,2,264,1087645
RANDOM,a2time01-trace,OK,9.24,777,288,716,18,297,204,368,2,264,1029025
RANDOM,empty-trace,OK,8.33,811,294,665,14,313,218,371,3,270,715005
