policy,benchmark,status,avg,wcTotal,wcEff,wcL1stall,wcReqBus,wcL2stall,wcL2access,wcRespBus,wcDramBus,wcDRAM,finish
LRU,volrend,OK,2.45,335,293,306,16,297,58,321,6,294,265890765
LRU,radix,OK,7.24,390,336,370,16,297,86,321,13,375,848708295
LRU,barnes,OK,3.20,341,299,325,16,297,61,337,5,293,240620395
LRU,fft,OK,4.51,344,307,336,16,297,76,326,5,333,476903077
LRU,cholesky,OK,5.11,335,304,310,16,297,65,321,6,294,221677703
LRU,lu_non_contig,OK,4.81,402,310,370,16,297,131,334,7,293,108385217
LRU,fmm,OK,3.64,340,310,324,16,297,157,321,7,288,85401943
LRU,water_spatial,OK,2.88,335,290,303,16,297,55,321,5,288,122992044
LRU,ocean,OK,6.32,405,351,377,16,297,144,341,10,374,50225393
LRU,water_nsquared,OK,3.35,335,284,299,16,297,53,321,5,294,84518719
RANDOM,volrend,OK,2.45,335,290,312,16,297,84,321,5,294,265935676
RANDOM,radix,OK,7.39,429,333,408,16,297,94,321,11,371,849508523
RANDOM,barnes,OK,3.21,394,294,349,16,297,65,342,5,293,240773487
RANDOM,fft,OK,4.96,358,307,355,16,297,76,336,6,346,476945866
RANDOM,cholesky,OK,5.21,489,313,313,16,297,57,321,5,294,222274328
RANDOM,lu_non_contig,OK,5.55,530,299,394,16,297,122,334,5,293,111565845
RANDOM,fmm,OK,3.67,335,306,327,16,297,128,321,6,288,85426032
RANDOM,water_spatial,OK,2.86,335,296,311,16,297,52,321,5,288,122947974
RANDOM,ocean,OK,6.36,439,364,392,16,297,151,359,7,378,50275330
RANDOM,water_nsquared,OK,3.31,351,300,311,16,297,52,321,5,294,84426815
